State,Year,Region_Type,Is_Coastal,Time_Trend_Index,Decade,Post_Liberalization,Post_2000_Infrastructure_Acceleration,Post_2010_Climate_Risk_Intensification,GDP_Growth_Rate,GSDP_Constant_Price,GSDP_Current_Price,Per_Capita_Income,Industrial_Output_Index,Services_Share,Agriculture_Share,Manufacturing_Share,Trade_Connectivity_Index,Export_Intensity,Tourism_Revenue_Index,FDI_Attractiveness_Index,Road_Density,Rail_Density,Port_Access_Index,Logistics_Connectivity_Index,Urbanization_Rate,Electricity_Access_Rate,Internet_Penetration_Rate,Infrastructure_Composite_Index,Literacy_Rate,Higher_Education_Enrollment,Health_Index,Labor_Force_Participation,Unemployment_Rate,Flood_Risk_Index,Cyclone_Exposure_Index,Drought_Risk_Index,Heat_Stress_Index,Coastal_Erosion_Risk,Land_Submergence_Risk_Index,Sea_Level_Rise_Exposure,Annual_Disaster_Loss_Rate,Climate_Vulnerability_Index,Ease_of_Doing_Business_Proxy,Policy_Reform_Index,Public_Capital_Expenditure_Index,GDP_Growth_Smoothed_3Y,Economic_Resilience_Index,Economic_Resilience_Class,Coastal_Trade_Interaction,Coastal_Climate_Interaction
Andhra Pradesh,1990,Coastal,1,11,1990s,0,0,0,6.7,26366.58,27758.73,5000.0,70.48,47.51,22.0,24.63,58.37,33.65,29.05,36.69,62.9,46.12,73.34,62.52,46.31,69.98,0.0,60.84,64.98,23.24,59.87,55.04,7.41,45.69,40.88,33.4,30.68,29.41,27.84,32.95,2.1,36.3,51.95,26.16,38.45,6.483333333333333,20.68,Low,58.37,36.3
Andhra Pradesh,1991,Coastal,1,12,1990s,1,0,0,7.66,28387.13,29681.98,5000.0,73.13,44.53,23.61,22.51,64.84,40.12,29.59,47.34,68.83,49.14,73.4,58.13,47.34,66.6,3.59,61.17,64.64,24.22,60.71,54.42,7.57,43.51,40.41,33.42,29.4,27.18,29.81,33.33,2.24,35.46,52.81,41.34,42.82,7.06,28.06,Medium,64.84,35.46
Andhra Pradesh,1992,Coastal,1,13,1990s,1,0,0,6.88,30339.02,31941.19,5000.0,74.34,49.84,23.92,26.07,64.15,41.32,21.84,44.49,69.04,47.23,74.99,58.6,50.39,72.41,0.6,62.73,64.6,24.33,65.96,55.24,9.53,41.76,39.64,30.26,32.62,29.95,27.02,33.5,2.33,35.0,46.83,40.69,42.17,7.080000000000001,28.16,Medium,64.15,35.0
Andhra Pradesh,1993,Coastal,1,14,1990s,1,0,0,8.32,32864.39,34867.77,5000.0,72.26,45.91,23.38,25.73,64.04,41.32,25.71,50.56,66.12,49.71,76.35,60.51,43.59,71.2,1.14,61.86,66.97,22.8,61.47,56.51,5.89,45.07,40.13,31.97,31.59,27.99,28.46,34.66,2.32,35.98,50.49,39.91,41.92,7.62,29.1,Medium,64.04,35.98
Andhra Pradesh,1994,Coastal,1,15,1990s,1,0,0,7.42,35301.86,37554.59,5000.0,68.47,47.4,22.83,22.17,66.46,38.15,23.85,48.92,63.65,47.36,78.12,59.13,44.75,71.46,3.3,61.39,63.15,24.11,63.83,51.63,8.16,45.35,40.66,35.14,34.99,29.81,26.42,29.93,2.29,36.67,51.82,41.23,36.84,7.54,26.65,Low,66.46,36.67
Andhra Pradesh,1995,Coastal,1,16,1990s,1,0,0,6.8,37703.53,39579.9,5000.0,68.86,50.13,25.59,22.24,66.8,37.08,28.29,47.36,69.21,47.14,70.95,61.57,48.47,73.4,0.0,62.41,68.8,22.88,63.72,53.49,7.54,45.38,38.83,31.28,33.58,34.4,25.59,35.96,2.53,36.63,50.89,41.28,40.21,7.513333333333333,29.04,Medium,66.8,36.63
Andhra Pradesh,1996,Coastal,1,17,1990s,1,0,0,6.89,40301.38,42159.81,5000.0,70.17,51.46,22.12,25.44,62.36,40.77,28.04,47.2,67.05,47.83,76.35,62.83,48.52,72.24,5.32,63.14,68.55,24.5,66.37,54.6,8.66,44.81,37.6,35.25,33.96,29.5,27.88,31.19,2.27,36.07,50.3,44.43,41.72,7.036666666666666,29.49,Medium,62.36,36.07
Andhra Pradesh,1997,Coastal,1,18,1990s,1,0,0,7.36,43267.19,45559.11,5000.0,71.61,49.28,23.35,24.63,62.85,41.36,30.71,44.47,72.87,49.45,75.41,62.35,45.69,74.23,3.6,64.02,66.08,26.05,59.9,52.27,7.34,44.19,42.25,32.04,39.24,29.14,26.86,30.29,2.28,36.83,53.11,44.29,39.33,7.016666666666667,27.47,Medium,62.85,36.83
Andhra Pradesh,1998,Coastal,1,19,1990s,1,0,0,7.02,46306.33,49250.87,5000.0,72.96,49.13,23.31,25.03,70.07,42.19,25.27,44.35,65.36,50.61,72.77,62.83,49.22,72.57,7.75,62.75,65.95,25.81,62.77,53.71,7.6,43.81,41.33,31.14,34.07,29.6,24.57,30.95,2.28,35.63,49.73,44.19,45.2,7.09,31.8,Medium,70.07,35.63
Andhra Pradesh,1999,Coastal,1,20,1990s,1,0,0,8.27,50133.9,53301.35,5000.0,71.17,50.05,21.49,27.24,67.8,38.66,25.85,43.39,69.46,50.53,77.21,63.63,46.54,71.78,11.61,63.86,67.56,25.49,62.18,54.5,6.9,45.69,42.83,31.65,34.91,28.5,24.48,30.17,2.33,36.33,53.33,42.18,42.41,7.55,30.9,Medium,67.8,36.33
Andhra Pradesh,2000,Coastal,1,21,2000s,1,1,0,6.97,53630.58,57252.32,5000.0,74.11,49.28,16.08,26.61,64.04,39.95,27.8,59.01,70.5,49.69,77.8,65.04,48.02,75.73,9.17,65.16,69.62,23.31,65.07,54.33,10.54,40.47,40.08,34.29,36.32,29.96,25.41,30.7,2.34,35.46,52.98,52.63,43.14,7.420000000000001,32.58,Medium,64.04,35.46
Andhra Pradesh,2001,Coastal,1,22,2000s,1,1,0,7.14,57460.73,60622.83,5000.0,73.91,56.8,20.18,27.39,64.55,40.78,30.58,49.86,69.09,48.05,74.59,65.41,51.08,73.77,13.87,64.34,69.64,25.99,62.82,55.43,9.16,44.39,39.67,31.72,35.79,26.53,23.94,30.68,2.3,35.34,52.17,49.84,42.1,7.460000000000001,31.72,Medium,64.55,35.34
Andhra Pradesh,2002,Coastal,1,23,2000s,1,1,0,7.45,61740.37,64972.22,5000.0,79.3,54.73,22.97,27.94,65.51,38.11,26.64,58.38,68.46,46.5,75.36,64.37,49.77,74.98,13.88,63.94,71.23,25.38,65.02,54.92,8.22,42.46,42.46,30.92,35.86,30.71,31.43,33.09,2.28,36.68,54.94,49.73,44.31,7.186666666666667,33.06,Medium,65.51,36.68
Andhra Pradesh,2003,Coastal,1,24,2000s,1,1,0,8.52,67001.89,70718.55,5000.0,73.55,53.69,20.7,26.74,65.27,40.0,31.85,55.84,70.44,54.55,73.5,62.79,52.59,75.01,17.13,65.26,67.9,27.37,66.76,52.79,8.72,42.93,41.79,30.4,39.62,31.43,26.59,31.45,2.18,36.62,52.72,50.99,43.9,7.703333333333334,33.91,Medium,65.27,36.62
Andhra Pradesh,2004,Coastal,1,25,2000s,1,1,0,7.48,72011.37,76338.14,5000.0,76.4,53.85,19.22,26.75,70.38,38.22,30.57,60.85,74.09,53.52,77.15,67.69,48.44,76.96,21.0,66.96,71.33,29.03,64.92,53.88,8.96,41.54,41.73,29.2,39.7,29.69,26.28,30.21,2.12,35.78,56.06,52.98,43.38,7.816666666666667,36.54,Medium,70.38,35.78
Andhra Pradesh,2005,Coastal,1,26,2000s,1,1,0,9.38,78763.04,83911.61,5000.0,71.83,53.47,20.82,27.31,70.39,38.3,25.69,53.62,76.7,55.22,80.87,65.47,46.75,71.13,20.55,66.74,70.79,29.36,68.07,54.37,7.97,41.68,41.79,34.03,38.88,27.53,28.62,32.73,2.05,36.56,53.51,53.26,44.68,8.46,38.73,High,70.39,36.56
Andhra Pradesh,2006,Coastal,1,27,2000s,1,1,0,7.96,85031.47,90587.51,5000.0,72.94,53.52,20.46,26.19,66.77,42.31,31.43,56.55,76.25,48.99,80.71,64.24,48.35,72.74,22.96,66.05,70.63,28.55,67.15,52.67,8.47,42.86,37.73,30.68,37.04,32.47,27.7,33.2,1.92,35.94,57.87,54.48,41.51,8.273333333333335,36.56,Medium,66.77,35.94
Andhra Pradesh,2007,Coastal,1,28,2000s,1,1,0,8.88,92583.96,98280.48,5000.0,76.73,52.5,19.64,26.48,69.28,43.39,28.42,57.54,69.75,48.4,79.0,68.59,51.93,74.07,25.0,66.06,73.73,28.18,64.85,54.65,8.15,47.19,44.37,33.85,41.79,29.73,28.85,34.84,2.42,39.2,55.37,48.47,45.69,8.740000000000002,36.46,Medium,69.28,39.2
Andhra Pradesh,2008,Coastal,1,29,2000s,1,1,0,9.17,101075.57,105514.25,5000.0,76.71,52.92,16.87,26.74,68.64,40.46,31.42,60.0,72.87,50.16,76.81,67.17,49.13,77.38,28.91,66.3,72.94,29.16,68.2,51.97,9.5,42.26,39.09,30.43,40.43,29.15,23.96,32.84,1.93,35.71,56.56,52.36,47.99,8.670000000000002,39.81,High,68.64,35.71
Andhra Pradesh,2009,Coastal,1,30,2000s,1,1,0,8.11,109272.85,114983.8,5000.0,75.44,53.58,20.22,27.73,68.8,40.3,28.17,57.51,74.28,53.17,76.87,65.78,48.9,78.31,28.0,66.85,76.67,26.87,68.21,55.98,9.46,43.95,39.34,29.88,41.59,32.61,26.44,29.6,1.82,36.59,54.72,51.65,49.77,8.72,41.31,High,68.8,36.59
Andhra Pradesh,2010,Coastal,1,31,2010s,1,1,1,6.58,116461.85,123265.76,5000.0,74.8,53.2,21.41,27.84,65.21,39.92,28.91,53.67,74.99,50.78,77.56,70.45,49.81,81.76,30.82,68.3,73.59,28.76,68.25,54.63,9.29,48.09,45.03,37.65,39.57,41.0,36.1,41.32,2.44,42.35,58.03,46.44,47.26,7.953333333333334,34.53,Medium,65.21,42.35
Andhra Pradesh,2011,Coastal,1,32,2010s,1,1,1,7.65,125372.7,133189.93,5000.0,73.29,52.89,18.62,26.47,69.06,38.97,27.18,57.58,69.81,50.78,79.57,66.54,49.8,78.93,36.47,66.57,71.52,29.32,64.87,53.63,8.89,47.89,46.37,29.82,41.18,41.71,37.13,40.63,2.47,41.78,59.9,48.89,46.94,7.446666666666668,33.9,Medium,69.06,41.78
Andhra Pradesh,2012,Coastal,1,33,2010s,1,1,1,8.14,135582.5,144290.26,5000.0,69.37,55.51,21.05,28.01,68.1,40.42,34.61,57.31,76.02,52.3,76.63,67.79,51.37,80.02,39.33,68.02,76.54,27.77,69.11,54.98,9.48,48.34,53.11,30.09,39.35,40.07,43.55,40.21,2.47,43.23,60.03,51.84,46.97,7.456666666666668,35.97,Medium,68.1,43.23
Andhra Pradesh,2013,Coastal,1,34,2010s,1,1,1,8.03,146463.32,154182.48,5000.0,80.29,57.11,18.96,28.35,71.11,42.51,31.4,55.04,78.09,55.38,74.95,68.58,50.49,78.74,39.2,68.32,76.09,30.09,65.17,52.94,9.76,44.12,49.65,33.68,44.64,39.2,35.2,42.74,2.58,42.21,60.13,50.55,48.17,7.940000000000001,36.65,Medium,71.11,42.21
Andhra Pradesh,2014,Coastal,1,35,2010s,1,1,1,9.1,159790.44,168370.11,5000.0,80.47,52.81,16.89,26.81,67.63,41.92,33.84,54.58,70.38,53.86,82.15,67.47,51.09,80.84,43.71,68.25,74.15,28.61,70.6,55.06,8.87,48.48,49.27,33.7,40.96,39.7,36.62,43.25,2.45,42.91,57.81,51.81,48.43,8.423333333333334,37.93,Medium,67.63,42.91
Andhra Pradesh,2015,Coastal,1,36,2010s,1,1,1,8.42,173244.44,181799.48,5000.0,77.53,56.52,18.57,27.75,70.9,41.41,32.75,54.12,74.13,56.86,80.69,67.55,53.21,80.49,43.33,69.38,75.91,32.75,70.36,54.03,9.9,50.07,47.52,33.27,42.8,39.62,38.15,40.38,2.35,43.04,56.3,50.12,48.36,8.516666666666667,38.82,High,70.9,43.04
Andhra Pradesh,2016,Coastal,1,37,2010s,1,1,1,8.26,187551.08,198688.01,5000.0,71.33,58.15,19.33,28.93,75.64,39.85,35.74,52.63,76.42,48.94,78.83,70.41,52.12,82.13,44.82,68.95,75.04,30.47,71.62,53.32,9.78,52.05,43.94,34.91,47.59,40.1,40.52,43.95,2.47,44.37,59.84,49.25,49.34,8.593333333333334,39.67,High,75.64,44.37
Andhra Pradesh,2017,Coastal,1,38,2010s,1,1,1,7.83,202231.28,214205.01,5000.0,82.0,54.1,16.63,30.81,71.38,42.29,32.05,52.99,80.97,50.98,76.5,68.9,49.02,79.84,44.77,68.5,77.76,30.67,72.11,55.78,9.64,49.17,47.56,29.59,43.69,37.88,40.71,47.03,2.51,43.06,55.9,51.16,49.66,8.17,39.4,High,71.38,43.06
Andhra Pradesh,2018,Coastal,1,39,2010s,1,1,1,7.32,217038.72,231460.62,5000.0,79.94,53.44,15.75,29.44,69.74,43.05,29.67,59.45,74.18,51.92,79.88,68.98,53.1,82.74,50.7,69.15,78.55,31.77,70.37,56.92,9.81,47.76,47.48,31.97,44.18,37.14,38.5,45.5,2.51,42.69,55.3,54.31,51.95,7.803333333333335,40.07,High,69.74,42.69
Andhra Pradesh,2019,Coastal,1,40,2010s,1,1,1,7.6,233536.11,246214.8,5000.0,77.02,55.01,19.15,28.47,68.13,41.94,32.47,58.04,76.94,51.6,81.63,70.83,51.72,84.34,51.24,70.29,77.42,32.65,68.86,53.47,8.86,49.21,49.82,33.07,46.65,39.62,41.43,42.68,2.51,44.26,60.65,49.97,51.14,7.583333333333335,37.88,Medium,68.13,44.26
Andhra Pradesh,2020,Coastal,1,41,2020s,1,1,1,5.36,246059.59,256985.78,5000.0,83.32,53.78,16.0,30.17,73.2,42.06,33.35,55.49,72.75,51.96,83.07,69.44,52.72,81.39,52.76,69.28,76.69,33.47,71.73,55.03,7.81,48.92,46.83,33.55,43.84,41.43,41.69,39.9,2.39,43.32,60.02,57.14,49.62,6.760000000000002,40.03,High,73.2,43.32
Andhra Pradesh,2021,Coastal,1,42,2020s,1,1,1,6.71,262565.79,274989.51,5000.0,77.43,54.97,15.1,28.75,71.21,40.61,35.39,58.1,80.55,54.32,79.89,70.13,51.8,83.65,52.66,70.78,76.31,34.83,75.47,54.57,9.97,49.11,44.6,33.86,47.06,39.74,38.84,43.8,2.29,43.35,59.93,49.86,51.01,6.5566666666666675,38.59,High,71.21,43.35
Andhra Pradesh,2022,Coastal,1,43,2020s,1,1,1,8.7,285395.89,300802.87,5000.0,78.68,55.92,13.87,29.3,75.78,42.6,36.38,58.37,80.43,53.37,79.92,73.24,53.03,79.6,58.07,70.74,76.48,32.01,72.0,53.99,7.45,49.93,49.21,30.38,48.95,36.48,43.55,41.06,2.51,43.94,58.1,51.76,51.65,6.923333333333335,40.54,High,75.78,43.94
Andhra Pradesh,2023,Coastal,1,44,2020s,1,1,1,8.4,309364.93,330921.55,5000.0,78.36,58.6,15.88,31.18,72.15,41.55,35.15,50.98,74.86,56.11,77.47,67.89,57.32,81.02,59.53,69.63,79.33,29.59,71.8,54.64,9.21,51.41,46.51,34.07,45.52,36.78,36.72,38.96,2.67,43.07,59.25,52.43,51.02,7.936666666666667,40.43,High,72.15,43.07
Andhra Pradesh,2024,Coastal,1,45,2020s,1,1,1,8.08,334371.56,355255.14,5000.0,80.28,57.84,15.62,29.28,78.63,39.63,36.32,56.68,77.46,57.62,76.16,71.08,52.0,85.08,59.02,70.44,80.5,33.88,71.71,54.57,8.59,47.42,52.88,31.67,42.95,37.92,36.79,43.53,2.54,43.12,63.48,51.14,51.35,8.393333333333334,43.35,High,78.63,43.12
Andhra Pradesh,2025,Coastal,1,46,2020s,1,1,1,8.72,363525.69,383654.94,5000.0,84.51,57.52,16.05,30.2,75.79,43.18,34.68,58.01,77.3,51.58,77.79,72.96,51.06,85.62,63.1,70.14,82.35,33.51,72.59,55.45,10.24,48.24,47.64,33.23,48.62,39.07,41.88,38.1,2.39,43.5,63.98,52.79,54.97,8.4,44.42,High,75.79,43.5
Assam,1980,Landlocked,0,1,1980s,0,0,0,5.45,7000.0,7393.5,5000.0,51.31,39.45,26.77,18.72,37.7,16.92,18.72,30.76,49.76,34.93,9.72,38.34,33.31,53.91,2.04,36.45,51.58,14.0,44.48,56.0,6.06,42.56,4.64,24.73,29.53,1.61,1.74,0.76,1.62,19.06,35.07,24.24,35.56,5.45,6.37,Low,0.0,0.0
Assam,1981,Landlocked,0,2,1980s,0,0,0,4.24,7296.85,7794.92,5000.0,52.57,42.15,25.36,18.78,34.44,13.51,21.34,29.84,48.15,42.99,9.74,39.98,35.8,53.46,2.86,37.92,52.13,14.07,45.09,52.22,5.9,43.37,5.52,25.7,28.49,1.34,0.21,0.6,1.53,19.22,33.28,25.23,37.05,4.845000000000001,6.35,Low,0.0,0.0
Assam,1982,Landlocked,0,3,1980s,0,0,0,5.58,7703.83,8210.65,5000.0,53.19,45.3,26.03,17.51,34.45,20.74,20.15,28.27,43.35,38.21,11.27,41.85,32.35,56.0,0.0,36.85,51.96,14.26,47.29,54.74,6.39,38.88,6.5,25.32,27.64,0.0,1.72,1.12,1.63,18.17,35.41,20.53,35.86,5.09,5.17,Low,0.0,0.0
Assam,1983,Landlocked,0,4,1980s,0,0,0,4.89,8080.54,8611.44,5000.0,54.57,42.86,26.76,18.44,37.39,19.91,20.39,30.26,46.54,39.51,10.28,38.81,35.61,53.53,4.01,37.01,55.54,15.35,50.11,54.28,7.16,45.25,5.95,25.26,31.8,1.52,0.35,0.0,1.65,20.13,32.97,23.58,32.94,4.903333333333333,5.73,Low,0.0,0.0
Assam,1984,Landlocked,0,5,1980s,0,0,0,4.46,8440.98,8942.87,5000.0,54.71,42.43,27.18,19.32,32.05,18.66,18.74,30.47,43.42,35.9,10.44,38.19,37.42,56.69,1.76,36.65,54.13,14.12,47.64,54.11,6.39,41.46,4.72,24.45,29.64,0.41,1.31,0.0,1.53,18.54,39.89,27.38,37.47,4.976666666666667,7.12,Low,0.0,0.0
Assam,1985,Landlocked,0,6,1980s,0,0,0,4.89,8853.76,9355.61,5000.0,48.81,41.19,25.69,17.98,37.02,17.74,20.59,31.34,49.55,37.03,9.88,41.11,36.08,55.51,3.84,37.94,54.7,15.05,46.77,53.96,6.82,45.8,4.59,26.44,33.16,0.0,0.69,0.0,1.74,20.22,37.24,25.3,34.58,4.746666666666667,5.77,Low,0.0,0.0
Assam,1986,Landlocked,0,7,1980s,0,0,0,3.42,9156.52,9783.31,5000.0,53.09,42.16,26.56,18.49,41.82,16.34,19.32,24.68,44.26,38.39,10.71,43.98,34.23,58.06,1.11,37.95,53.96,16.31,46.49,57.2,7.73,41.74,4.87,24.94,31.76,1.85,0.1,0.64,1.34,19.12,39.23,25.34,39.63,4.256666666666667,8.65,Low,0.0,0.0
Assam,1987,Landlocked,0,8,1980s,0,0,0,5.29,9640.63,10265.57,5000.0,47.69,39.66,22.92,19.23,35.76,16.21,23.4,30.33,51.02,36.48,13.15,41.97,37.81,57.3,0.0,39.43,55.17,14.75,48.15,54.47,4.46,39.58,6.87,23.79,30.65,1.13,0.57,0.71,1.52,18.61,39.16,24.16,36.5,4.533333333333332,8.09,Low,0.0,0.0
Assam,1988,Landlocked,0,9,1980s,0,0,0,5.24,10145.74,10844.77,5000.0,55.95,42.13,26.27,19.22,38.54,19.69,25.64,29.79,52.74,36.14,12.81,43.4,36.72,57.21,2.96,39.7,53.3,13.41,48.81,55.53,7.99,42.59,6.0,26.16,31.85,1.41,0.75,1.01,1.72,19.75,40.78,25.15,40.32,4.6499999999999995,8.37,Low,0.0,0.0
Assam,1989,Landlocked,0,10,1980s,0,0,0,5.25,10678.81,11321.78,5000.0,51.32,42.23,25.07,18.25,38.24,18.75,23.55,24.79,51.29,36.3,10.08,44.6,40.49,59.26,0.0,40.12,54.27,17.33,49.97,55.28,6.3,42.07,7.71,25.24,30.83,2.18,0.0,0.0,1.74,19.6,41.38,26.39,34.22,5.260000000000001,8.33,Low,0.0,0.0
Assam,1990,Landlocked,0,11,1990s,0,0,0,4.85,11196.24,11808.89,5000.0,52.39,45.12,23.06,19.71,41.77,19.93,26.14,30.61,53.39,38.33,11.36,41.81,34.68,60.25,3.32,39.74,55.91,15.97,46.22,54.2,5.05,39.82,5.94,23.59,34.04,0.87,0.44,0.0,1.39,18.84,38.33,23.11,36.52,5.113333333333333,9.94,Low,0.0,0.0
Assam,1991,Landlocked,0,12,1990s,1,0,0,6.5,11924.12,12534.9,5000.0,55.12,41.27,25.0,17.83,40.97,25.03,25.26,37.37,57.34,36.65,10.16,40.71,34.99,59.25,0.0,39.69,58.31,14.96,50.64,52.89,5.58,43.88,5.28,24.09,32.22,2.43,0.43,0.53,1.59,19.74,40.8,36.33,37.13,5.533333333333332,13.99,Low,0.0,0.0
Assam,1992,Landlocked,0,13,1990s,1,0,0,4.58,12470.32,13199.52,5000.0,58.07,45.07,25.01,19.68,37.1,26.2,23.32,34.58,47.21,39.01,7.91,43.58,39.1,58.29,3.43,38.81,54.8,18.41,47.39,55.34,7.28,43.74,5.57,22.32,33.55,1.89,0.88,0.0,1.43,19.63,43.27,38.54,35.42,5.31,10.81,Low,0.0,0.0
Assam,1993,Landlocked,0,14,1990s,1,0,0,5.21,13119.57,13951.14,5000.0,49.65,42.83,27.51,17.82,43.54,28.06,25.83,34.83,52.86,35.06,10.17,44.19,39.68,58.44,0.62,39.91,54.84,18.2,51.9,54.86,5.23,43.09,5.28,27.14,34.5,0.0,0.67,0.73,1.66,20.05,40.14,36.39,36.27,5.43,13.71,Low,0.0,0.0
Assam,1994,Landlocked,0,15,1990s,1,0,0,5.48,13838.0,14775.2,5000.0,58.51,41.67,23.75,19.93,46.29,27.7,25.94,36.08,50.55,35.46,9.26,45.64,38.04,61.86,3.01,39.93,55.73,18.27,50.64,53.71,5.87,45.17,6.01,25.15,33.7,1.54,0.2,0.73,1.74,20.43,40.73,38.2,38.97,5.090000000000001,14.74,Low,0.0,0.0
Assam,1995,Landlocked,0,16,1990s,1,0,0,5.21,14558.59,15522.24,5000.0,56.19,43.7,23.39,18.68,44.15,26.14,24.97,37.58,55.96,36.13,10.62,43.64,38.13,60.56,2.22,40.69,57.98,20.42,51.48,53.1,5.93,44.01,4.35,22.43,35.82,1.76,1.58,0.39,1.75,19.89,42.1,34.5,38.94,5.300000000000001,14.56,Low,0.0,0.0
